thread_id,first_customer_message,first_customer_created_at,predicted_intent,model_confidence,tweet_count,channel_switch,double_annotate,correct_intent,should_escalate,difficulty,notes
2787892,FIX THE I @115858,2017-11-21 19:07:52+00:00,ui_and_app_glitches,0.5975,2,False,True,ui_and_app_glitches,False,easy,
2575357,Me so tired of my brand new @115858 mePhone fuckin up all the time me might just smash Phone against a wall and end me misery.,2017-11-16 19:33:08+00:00,system_performance_and_freezing,0.5304,4,True,False,system_performance_and_freezing,True,medium,
545220,@115858 my iphone keeps randomly restarting like wtf another glitch or what!!! #Apple #iOS11,2017-12-02 09:16:18+00:00,network_and_connectivity_issues,0.609,2,False,True,,,,
2833102,"I don't know whose fault it is but my twitter app crashed 8 times while watching a vine thread, so somebody needs to fix it before I transfer to using Facebook on my android at University of Sydney @TwitterSupport @115858 @19412",2017-11-27 06:13:47+00:00,ui_and_app_glitches,0.4063,2,False,False,,,,
2835822,"Тук някой друг нещастен мак юзър, ъпдейтнал до High Sierra и изпитващ затруднения с InDesign или пак само аз съм теглила късата клечка",2017-11-27 12:11:05+00:00,keyboard_and_autocorrect_bugs,0.1097,3,False,False,,,,
2686727,"Ugh I hate when I’m using app functions towards the top of the screen &amp; a notification sneaks in. I didn’t tap you. Fuck off. Why hasn’t this been dealt with yet, @115858?",2017-11-19 04:25:48+00:00,ui_and_app_glitches,0.4762,2,False,False,,,,
2834422,Touch ID c’est vraiment mal fait ...,2017-11-27 09:26:23+00:00,ui_and_app_glitches,0.1165,3,False,False,,,,
2616613,Mann .. I️ needa get myself together,2017-11-17 06:28:04+00:00,system_performance_and_freezing,0.123,3,False,False,,,,
2942146,"Hallo @AppleSupport, ich fahre mit einem fast 100% Akku los zur Arbeit und komme mit 30% Akku wieder an. WARUM. Ich hab schon letztes Jahr festgestellt, dass mein Handy sehr kälteempfindlich ist. Was kann ich tun, dass mein Akku stand hält??",2017-11-29 06:39:47+00:00,ui_and_app_glitches,0.0951,2,False,False,,,,
2525480,my apple music is broken 😭😭. FIX IT @AppleSupport,2017-11-16 02:38:50+00:00,out_of_scope,0.4895,2,False,True,,,,
2843921,@AppleSupport Well… Since I have got my new iPhone X I am having so many issues … And still have some. This is really annoying :-(,2017-11-24 23:17:46+00:00,software_update_and_installation_issues,0.502,30,False,False,,,,
2152150,@AppleSupport how do i have my battery percentage show on the iPhone X?!?!,2017-11-26 04:40:46+00:00,battery_issues_and_drain,0.7637,4,False,True,,,,
2449516,I️,2017-11-15 02:42:39+00:00,keyboard_and_autocorrect_bugs,0.1811,5,False,False,,,,
2614244,"i️ am SO sick and fucking TIRED of having a shitty president, presidential family, vice president, and all of the evil minions they fucking employ like we don’t see what stupid fucking tricks they’re trying to pull. everyone is equal and we all have basic human fucking rights.",2017-11-17 04:35:48+00:00,software_update_and_installation_issues,0.125,3,False,True,,,,
546715,Ik zit in de twijfel. Help me out. Waar gaat jullie voorkeur naar uit qua gebruiksgemak?,2017-11-23 17:02:06+00:00,keyboard_and_autocorrect_bugs,0.0999,7,False,False,,,,
2487125,@115858 I️I️ I help,2017-11-15 15:35:44+00:00,ui_and_app_glitches,0.5218,2,False,False,,,,
539882,@115858 I am too poor to buy new phone and because of the new released iPhone I am no longer able to use my screen without it spazzing so is there anything you can do about this? Please,2017-12-02 05:40:23+00:00,software_update_and_installation_issues,0.584,9,False,False,,,,
2447520,I️ help wtf @115858,2017-11-15 01:43:57+00:00,ui_and_app_glitches,0.5945,2,False,False,,,,
2728291,"@AppleSupport Checked time- battery at 54%, checked again 5 minutes later, it was down to 13%. Phone was doing nothing in between. This only happened since installing ios 11. I’ve done all I can think of to reduce battery drain. Help!!",2017-11-20 07:30:09+00:00,battery_issues_and_drain,0.6179,8,False,False,,,,
629701,@AppleSupport how do I find out my Genius Bar reservation time??,2017-11-22 14:41:34+00:00,out_of_scope,0.358,4,False,True,,,,
2905226,"@AppleSupport a lot of my notifications are not showing up on my lock screen, even though the notifications are turned on",2017-11-28 19:05:33+00:00,out_of_scope,0.3622,6,False,False,,,,
459571,Omg my phone stays dead now ☹️ @AppleSupport fix this mess please,2017-12-01 01:07:50+00:00,out_of_scope,0.5576,4,False,False,,,,
463943,@AppleSupport I Bought the iPhone X Today &amp; My Phone Won’t Charge Pass 4%. Had it On the Charger For 2 Hours,2017-12-01 02:57:31+00:00,battery_issues_and_drain,0.5019,4,False,False,,,,
2838614,"@AppleSupport 
Always happens 🙃 https://t.co/uzLlueGgnc",2017-11-27 15:24:45+00:00,out_of_scope,0.5482,6,False,True,,,,
